Car,Destination,DestinationCode,DestinationName,Group,Line,LocationCode,LocationName,Min,CallTime,Peak,LeftYet,IsNext,BRD_Time,TimeToBRD,Diff
6,Shady Grv,,Shady Grv,2,RD,A04,Woodley Park-Zoo/Adams Morgan,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A07,Tenleytown-AU,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A07,Tenleytown-AU,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,A09,Bethesda,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,A10,Medical Center,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,A12,North Bethesda,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Shady Grove,,Shady Grove,2,RD,A14,Rockville,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,B04,Rhode Island Ave-Brentwood,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B06,Fort Totten,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B08,Silver Spring,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Largo,G05,Downtown Largo,1,SV,C02,McPherson Square,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Ashburn,N12,Ashburn,2,SV,C02,McPherson Square,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Largo,G05,Downtown Largo,1,BL,C03,Farragut West,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,C05,Rosslyn,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Largo,G05,Downtown Largo,1,BL,C06,Arlington Cemetery,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,C06,Arlington Cemetery,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,MtVern Sq,,MtVern Sq,1,YL,C10,Ronald Reagan Washington National Airport,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Huntington,,Huntington,2,YL,C11,Potomac Yard,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,D02,Smithsonian,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Largo,G05,Downtown Largo,1,BL,D03,L'Enfant Plaza,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,D03,L'Enfant Plaza,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,NewCrlton,,NewCrlton,1,OR,D08,Stadium-Armory,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,D08,Stadium-Armory,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,E01,Mt Vernon Sq 7th St-Convention Center,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E03,U Street/African-Amer Civil War Memorial/Cardozo,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,E04,Columbia Heights,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E05,Georgia Ave-Petworth,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,E06,Fort Totten,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Hntingtn,C15,Huntington,2,YL,F02,Archives-Navy Memorial-Penn Quarter,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,F03,L'Enfant Plaza,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Branch Ave,,Branch Ave,2,GR,F03,L'Enfant Plaza,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,F06,Anacostia,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,F08,Southern Avenue,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,F09,Naylor Road,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Largo,G05,Downtown Largo,1,BL,G03,Addison Road-Seat Pleasant,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Largo,G05,Downtown Largo,1,SV,K04,Ballston-MU,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,N Carrollton,,N Carrollton,1,OR,K06,West Falls Church,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Largo,G05,Downtown Largo,1,SV,N09,Innovation Center,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
6,Ashburn,N12,Ashburn,2,SV,N09,Innovation Center,BRD,2025-05-01 14:34:26.831498,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A04,Woodley Park-Zoo/Adams Morgan,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,A11,Grosvenor-Strathmore,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B03,Union Station,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B07,Takoma,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
6,MtVern Sq,,MtVern Sq,1,YL,C07,Pentagon,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
6,MtVern Sq,,MtVern Sq,1,YL,C08,Pentagon City,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
6,Hntingtn,C15,Huntington,2,YL,C09,Crystal City,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
6,Mt Vern Sq,,Mt Vern Sq,1,YL,C11,Potomac Yard,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
6,NewCrlton,,NewCrlton,1,OR,D01,Federal Triangle,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E01,Mt Vernon Sq 7th St-Convention Center,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
6,Branch Ave,,Branch Ave,2,GR,E08,Hyattsville Crossing,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
6,Ashburn,N12,Ashburn,2,SV,G03,Addison Road-Seat Pleasant,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
8,Ashburn,N12,Ashburn,2,SV,K03,Virginia Square-GMU,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
,ssenger,,No Passenger,1,No,N11,Loudon Gateway,ARR,2025-05-01 14:34:26.831498,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A01,Metro Center,1,2025-05-01 14:34:26.831498,True,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,A02,Farragut North,1,2025-05-01 14:34:26.831498,True,False,True,,,
6,Shady Grv,,Shady Grv,2,RD,A05,Cleveland Park,1,2025-05-01 14:34:26.831498,True,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,A08,Friendship Heights,1,2025-05-01 14:34:26.831498,True,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,B02,Judiciary Square,1,2025-05-01 14:34:26.831498,True,False,True,,,
8,Glenmont,B11,Glenmont,1,RD,B05,Brookland-CUA,1,2025-05-01 14:34:26.831498,True,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,B08,Silver Spring,1,2025-05-01 14:34:26.831498,True,False,True,,,
6,Largo,G05,Downtown Largo,1,SV,C01,Metro Center,1,2025-05-01 14:34:26.831498,True,False,True,,,
8,Ashburn,N12,Ashburn,2,SV,C03,Farragut West,1,2025-05-01 14:34:26.831498,True,False,True,,,
6,Largo,G05,Downtown Largo,1,SV,C04,Foggy Bottom-GWU,1,2025-05-01 14:34:26.831498,True,False,True,,,
6,NewCrlton,,NewCrlton,1,OR,C05,Rosslyn,1,2025-05-01 14:34:26.831498,True,False,True,,,
