Car,Destination,DestinationCode,DestinationName,Group,Line,LocationCode,LocationName,Min,CallTime,Peak,LeftYet,IsNext,BRD_Time,TimeToBRD,Diff
8,Shady Grv,,Shady Grv,2,RD,A02,Farragut North,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A04,Woodley Park-Zoo/Adams Morgan,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A07,Tenleytown-AU,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,A07,Tenleytown-AU,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
6,Shady Grove,,Shady Grove,2,RD,A14,Rockville,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B01,Gallery Pl-Chinatown,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,B02,Judiciary Square,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,B04,Rhode Island Ave-Brentwood,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B05,Brookland-CUA,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
8,N Carrollton,,N Carrollton,1,OR,C01,Metro Center,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,C03,Farragut West,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,C08,Pentagon City,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
6,MtVern Sq,,MtVern Sq,1,YL,C09,Crystal City,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
6,Hntingtn,C15,Huntington,2,YL,C10,Ronald Reagan Washington National Airport,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
6,Mt Vern Sq,,Mt Vern Sq,1,YL,C12,Braddock Road,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,C13,King St-Old Town,BRD,2025-05-01 14:04:56.827238,True,False,False,,,
