Car,Destination,DestinationCode,DestinationName,Group,Line,LocationCode,LocationName,Min,CallTime,Peak,LeftYet,IsNext,BRD_Time,TimeToBRD,Diff
6,Glenmont,B11,Glenmont,1,RD,A01,Metro Center,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A03,Dupont Circle,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A06,Van Ness-UDC,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A08,Friendship Heights,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A10,Medical Center,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A11,Grosvenor-Strathmore,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A13,Twinbrook,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B04,Rhode Island Ave-Brentwood,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,B06,Fort Totten,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,B06,Fort Totten,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,B08,Silver Spring,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,B08,Silver Spring,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B10,Wheaton,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Largo,G05,Downtown Largo,1,BL,C03,Farragut West,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Ashburn,N12,Ashburn,2,SV,C03,Farragut West,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,C05,Rosslyn,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,C06,Arlington Cemetery,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,C09,Crystal City,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,C11,Potomac Yard,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Huntington,,Huntington,2,YL,C13,King St-Old Town,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Vienna,K08,Vienna/Fairfax-GMU,2,OR,D01,Federal Triangle,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,NewCrlton,,NewCrlton,1,OR,D02,Smithsonian,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,D02,Smithsonian,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,D07,Potomac Ave,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E06,Fort Totten,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Branch Av,,Branch Av,2,GR,E06,Fort Totten,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E07,West Hyattsville,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
8,Branch Ave,,Branch Ave,2,GR,F01,Gallery Pl-Chinatown,BRD,2025-05-01 18:11:40.023170,True,False,False,,,
