Car,Destination,DestinationCode,DestinationName,Group,Line,LocationCode,LocationName,Min,CallTime,Peak,LeftYet,IsNext,BRD_Time,TimeToBRD,Diff
8,Glenmont,B11,Glenmont,1,RD,A01,Metro Center,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Shady Grove,,Shady Grove,2,RD,A01,Metro Center,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A03,Dupont Circle,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A06,Van Ness-UDC,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A07,Tenleytown-AU,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,A08,Friendship Heights,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A09,Bethesda,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,Shady Grv,,Shady Grv,2,RD,A09,Bethesda,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A11,Grosvenor-Strathmore,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,A13,Twinbrook,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,B02,Judiciary Square,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B03,Union Station,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B04,Rhode Island Ave-Brentwood,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,B05,Brookland-CUA,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B06,Fort Totten,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B08,Silver Spring,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B10,Wheaton,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Ashburn,N12,Ashburn,2,SV,C01,Metro Center,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Largo,G05,Downtown Largo,1,BL,C03,Farragut West,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,C04,Foggy Bottom-GWU,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,Largo,G05,Downtown Largo,1,BL,C06,Arlington Cemetery,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,C06,Arlington Cemetery,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,MtVern Sq,,MtVern Sq,1,YL,C07,Pentagon,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,MtVern Sq,,MtVern Sq,1,YL,C10,Ronald Reagan Washington National Airport,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,Hntingtn,C15,Huntington,2,YL,C10,Ronald Reagan Washington National Airport,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,Huntington,,Huntington,2,YL,C11,Potomac Yard,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,NewCrlton,,NewCrlton,1,OR,D01,Federal Triangle,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,D02,Smithsonian,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,D03,L'Enfant Plaza,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,Largo,G05,Downtown Largo,1,SV,D05,Capitol South,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Ashburn,N12,Ashburn,2,SV,D05,Capitol South,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,Largo,G05,Downtown Largo,1,SV,D07,Potomac Ave,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,D07,Potomac Ave,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,NewCrlton,,NewCrlton,1,OR,D08,Stadium-Armory,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E04,Columbia Heights,BRD,2025-05-01 17:41:55.869200,True,False,False,,,
